event,underlying,structure,entry,peak,spot_entry,spot_peak,spx_dd_pct,iv_entry,iv_peak,contracts,cost_per_unit,cost_total,ann_cost_pct,peak_value_per_unit,peak_value_total,peak_pnl,convexity,delta,gamma,vega,theta,provenance
2022-03-08 hike-cycle,VIX,WeeklyCall K=25.0,2022-03-01,2022-03-08,32.95,35.07,6.4,132.8,139.7,6,8.13,4876.0,25.42,10.07,6043.0,1167.0,1.24,0.945,18.351,0.01,-0.05,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2022-03-08 hike-cycle,VIX,WeeklyCall K=30.0,2022-03-01,2022-03-08,32.95,35.07,6.4,132.8,139.7,12,4.09,4911.0,25.61,5.17,6201.0,1290.0,1.26,0.728,54.751,0.02,-0.15,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2022-03-08 hike-cycle,VIX,Ladder 25+35+45 (30DTE),2022-03-01,2022-03-08,33.32,35.13,5.43,132.8,139.7,3,15.42,4625.0,5.63,18.44,5533.0,908.0,1.2,1.607,78.755,0.09,-0.21,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2024-08-05 JPY unwind,SPX,Fly -2/-5/-8,2024-07-29,2024-08-05,5463.54,5186.33,-5.07,16.6,38.6,2,23.08,4616.0,4.81,18.48,3696.0,-920.0,0.8,-0.081,0.025,0.12,0.02,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPX,PutSpread ATM/-10,2024-07-29,2024-08-05,5463.54,5186.33,-5.07,16.6,38.6,2,100.06,20012.0,20.87,278.25,55650.0,35638.0,2.78,-0.444,1.273,6.05,-1.16,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPX,LongPut -10,2024-07-29,2024-08-05,5463.54,5186.33,-5.07,16.6,38.6,2,1.61,322.0,0.34,108.19,21639.0,21317.0,67.3,-0.016,0.141,0.67,-0.15,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPX,Ratio2x1 -8/-15,2024-07-29,2024-08-05,5463.54,5186.33,-5.07,16.6,38.6,2,-4.87,-974.0,-1.02,-62.11,-12422.0,-11448.0,0.0,0.041,-0.308,-1.47,0.32,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPX,Ratio2x1 -10/-20,2024-07-29,2024-08-05,5463.54,5186.33,-5.07,16.6,38.6,2,-1.61,-321.0,-0.34,-82.42,-16485.0,-16163.0,0.0,0.016,-0.141,-0.67,0.15,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPY,Fly -2/-5/-8,2024-07-29,2024-08-05,544.76,517.38,-5.03,16.6,38.6,18,2.3,4143.0,4.32,1.84,3317.0,-825.0,0.8,-0.081,0.256,0.01,0.0,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPY,PutSpread ATM/-10,2024-07-29,2024-08-05,544.76,517.38,-5.03,16.6,38.6,18,9.98,17958.0,18.73,27.65,49768.0,31810.0,2.77,-0.444,12.763,0.6,-0.12,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPY,LongPut -10,2024-07-29,2024-08-05,544.76,517.38,-5.03,16.6,38.6,18,0.16,289.0,0.3,10.71,19285.0,18996.0,66.83,-0.016,1.412,0.07,-0.01,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPY,Ratio2x1 -8/-15,2024-07-29,2024-08-05,544.76,517.38,-5.03,16.6,38.6,18,-0.49,-874.0,-0.91,-6.17,-11111.0,-10237.0,0.0,0.041,-3.093,-0.15,0.03,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,SPY,Ratio2x1 -10/-20,2024-07-29,2024-08-05,544.76,517.38,-5.03,16.6,38.6,18,-0.16,-288.0,-0.3,-8.17,-14707.0,-14419.0,0.0,0.016,-1.411,-0.07,0.01,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,QQQ,Fly -2/-5/-8,2024-07-29,2024-08-05,463.9,435.37,-6.15,26.0,57.2,22,1.75,3840.0,4.0,1.05,2318.0,-1521.0,0.6,-0.029,-0.657,-0.04,0.01,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,QQQ,PutSpread ATM/-10,2024-07-29,2024-08-05,463.9,435.37,-6.15,26.0,57.2,22,12.58,27677.0,28.86,25.53,56169.0,28491.0,2.03,-0.383,6.597,0.35,-0.11,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,QQQ,LongPut -10,2024-07-29,2024-08-05,463.9,435.37,-6.15,26.0,57.2,22,1.43,3151.0,3.29,19.23,42314.0,39163.0,13.43,-0.081,4.032,0.22,-0.08,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,QQQ,Ratio2x1 -8/-15,2024-07-29,2024-08-05,463.9,435.37,-6.15,26.0,57.2,22,-2.05,-4514.0,-4.71,-1.46,-3220.0,1294.0,0.0,0.095,-3.352,-0.18,0.06,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,QQQ,Ratio2x1 -10/-20,2024-07-29,2024-08-05,463.9,435.37,-6.15,26.0,57.2,22,-1.38,-3045.0,-3.18,-8.18,-18004.0,-14960.0,0.0,0.077,-3.671,-0.2,0.07,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,IWM,Fly -2/-5/-8,2024-07-29,2024-08-05,221.73,202.2,-8.81,29.8,64.6,45,0.77,3468.0,3.62,0.43,1939.0,-1529.0,0.56,-0.02,-1.169,-0.02,0.01,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,IWM,PutSpread ATM/-10,2024-07-29,2024-08-05,221.73,202.2,-8.81,29.8,64.6,45,6.61,29724.0,31.0,13.57,61048.0,31324.0,2.05,-0.355,10.254,0.14,-0.05,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,IWM,LongPut -10,2024-07-29,2024-08-05,221.73,202.2,-8.81,29.8,64.6,45,1.13,5066.0,5.28,13.21,59431.0,54364.0,11.73,-0.11,9.159,0.13,-0.05,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,IWM,Ratio2x1 -8/-15,2024-07-29,2024-08-05,221.73,202.2,-8.81,29.8,64.6,45,-1.28,-5743.0,-5.99,1.14,5125.0,10868.0,inf,0.096,-4.861,-0.07,0.03,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,IWM,Ratio2x1 -10/-20,2024-07-29,2024-08-05,221.73,202.2,-8.81,29.8,64.6,45,-1.04,-4692.0,-4.89,-3.64,-16358.0,-11666.0,0.0,0.097,-7.466,-0.1,0.04,"BSM estimate, not listed mid"
2024-08-05 JPY unwind,VIX,WeeklyCall K=25.0,2024-07-29,2024-08-05,16.88,36.14,114.1,93.5,173.3,0,0.0,0.0,0.0,11.15,0.0,0.0,0,0.002,2.269,0.0,-0.0,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2024-08-05 JPY unwind,VIX,WeeklyCall K=30.0,2024-07-29,2024-08-05,16.88,36.14,114.1,93.5,173.3,0,0.0,0.0,0.0,6.28,0.0,0.0,0,0.0,0.013,0.0,-0.0,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
2024-08-05 JPY unwind,VIX,Ladder 25+35+45 (30DTE),2024-07-29,2024-08-05,16.6,38.57,132.35,93.5,173.3,270,0.19,4997.0,6.08,23.47,633763.0,628766.0,126.84,0.099,40.351,0.01,-0.01,BSM-on-spot-VIX estimate (overstates true tracking — VIX options price off VX future)
